"Ship_Mode","Segment","City","State","Sub_Category","diff_in_days","Sales","Quantity","Discount","Profit"
"Standard Class","Consumer","Lawrence","Massachusetts","Chairs",5,872.32,4,0,244.2496
"Standard Class","Consumer","Florence","Kentucky","Machines",4,3080,7,0,1416.8
"Standard Class","Corporate","Huntsville","Alabama","Art",5,19.56,4,0,5.4768
"First Class","Consumer","New York City","New York","Chairs",2,589.41,5,0.1,-6.549
"Standard Class","Corporate","Dallas","Texas","Paper",5,82.656,9,0.2,30.996
"Second Class","Home Office","Seattle","Washington","Binders",2,55.36,4,0.2,19.376
"Second Class","Consumer","Mesa","Arizona","Bookcases",5,127.764,6,0.7,-191.646
"Standard Class","Consumer","San Francisco","California","Binders",4,17.456,2,0.2,5.8914
"Standard Class","Consumer","New York City","New York","Labels",6,20.7,2,0,9.936
"Standard Class","Corporate","Philadelphia","Pennsylvania","Art",4,6.848,2,0.2,0.7704
"Same Day","Consumer","Rochester","Minnesota","Storage",0,221.16,4,0,57.5016
"Standard Class","Consumer","Paterson","New Jersey","Paper",7,166.44,3,0,79.8912
"Standard Class","Consumer","Los Angeles","California","Furnishings",4,119.94,3,0,23.988
"Standard Class","Corporate","Broken Arrow","Oklahoma","Tables",5,1592.85,7,0,350.427
"Second Class","Consumer","Alexandria","Virginia","Storage",5,81.2,5,0,12.18
"First Class","Corporate","Wilmington","Delaware","Binders",1,221.06,7,0,103.8982
"First Class","Corporate","Antioch","California","Paper",1,19.44,3,0,9.3312
"Standard Class","Consumer","Columbus","Indiana","Appliances",6,465.16,2,0,120.9416
"Standard Class","Consumer","San Francisco","California","Envelopes",4,78.35,5,0,36.8245
"Standard Class","Corporate","Seattle","Washington","Furnishings",7,65.94,3,0,22.4196
"Standard Class","Home Office","Salem","Virginia","Phones",4,21.8,2,0,6.104
"Second Class","Consumer","Dallas","Texas","Accessories",5,15.576,3,0.2,3.3099
"First Class","Consumer","Fayetteville","Arkansas","Accessories",1,34.95,5,0,15.378
"Standard Class","Consumer","Philadelphia","Pennsylvania","Bookcases",4,301.47,3,0.5,-204.9996
"Standard Class","Home Office","Franklin","Tennessee","Art",4,2.816,2,0.2,0.3168
"Second Class","Consumer","Wilmington","Delaware","Paper",2,44.1,6,0,20.727
"Standard Class","Corporate","Philadelphia","Pennsylvania","Storage",4,8.384,1,0.2,0.7336
"First Class","Corporate","Sandy Springs","Georgia","Bookcases",1,302.94,3,0,75.735
"Second Class","Consumer","Philadelphia","Pennsylvania","Chairs",5,380.058,3,0.3,-21.7176
"Standard Class","Consumer","Plano","Texas","Phones",4,201.584,2,0.2,20.1584
"Standard Class","Consumer","Decatur","Alabama","Accessories",7,239.92,8,0,23.992
"Standard Class","Consumer","Houston","Texas","Binders",6,2.934,3,0.8,-4.9878
"Standard Class","Consumer","Wichita","Kansas","Furnishings",4,70.56,6,0,23.9904
"Standard Class","Home Office","Hollywood","Florida","Binders",5,15.57,3,0.7,-11.418
"Standard Class","Corporate","Overland Park","Kansas","Fasteners",4,18.24,3,0,9.12
"Standard Class","Corporate","Springfield","Virginia","Labels",4,62.1,6,0,29.808
"Standard Class","Corporate","Jacksonville","Florida","Binders",5,10.38,2,0.7,-7.612
"Second Class","Consumer","Jackson","Michigan","Paper",2,56.07,7,0,25.2315
"Second Class","Corporate","Jacksonville","Florida","Phones",2,59.184,2,0.2,5.1786
"Same Day","Home Office","New York City","New York","Bookcases",0,113.568,2,0.2,12.7764
"Standard Class","Corporate","Saint Petersburg","Florida","Labels",4,9,3,0.2,3.15
"Standard Class","Consumer","Lawrence","Indiana","Appliances",5,638.73,9,0,166.0698
"Standard Class","Consumer","Los Angeles","California","Accessories",5,166.24,1,0,24.936
"Standard Class","Consumer","Houston","Texas","Chairs",7,966.7,5,0.3,-13.81
"Standard Class","Consumer","Henderson","Kentucky","Paper",4,51.55,5,0,24.2285
"Standard Class","Corporate","Lawrence","Massachusetts","Storage",4,32.7,3,0,8.502
"Second Class","Corporate","San Francisco","California","Furnishings",5,257.64,6,0,100.4796
"Second Class","Corporate","Dallas","Texas","Paper",2,85.056,3,0.2,28.7064
"Second Class","Home Office","Bayonne","New Jersey","Phones",3,104.98,2,0,52.49
"Standard Class","Consumer","New York City","New York","Paper",5,14.62,2,0,6.7252
"Standard Class","Consumer","Orem","Utah","Paper",6,12.96,2,0,6.2208
"Second Class","Consumer","Houston","Texas","Binders",2,2.08,5,0.8,-3.432
"Standard Class","Consumer","Detroit","Michigan","Phones",5,257.98,2,0,74.8142
"Standard Class","Corporate","San Jose","California","Bookcases",6,273.666,2,0.15,-12.8784
"Standard Class","Consumer","San Francisco","California","Storage",5,37.32,3,0,10.4496
"Same Day","Corporate","Mesquite","Texas","Binders",0,0.876,1,0.8,-1.4016
"Standard Class","Corporate","Athens","Georgia","Accessories",4,79.99,1,0,28.7964
"Standard Class","Consumer","New York City","New York","Art",7,16.38,9,0,7.371
"Standard Class","Corporate","Chicago","Illinois","Storage",6,53.92,5,0.2,4.044
"Standard Class","Corporate","Houston","Texas","Furnishings",5,22.38,3,0.6,-7.833
"First Class","Home Office","Philadelphia","Pennsylvania","Tables",2,154.764,3,0.4,-36.1116
"Standard Class","Home Office","San Francisco","California","Paper",4,286.93,7,0,140.5957
"First Class","Corporate","New York City","New York","Paper",3,80.88,3,0,39.6312
"First Class","Consumer","Louisville","Kentucky","Paper",2,79.14,3,0,36.4044
"Standard Class","Consumer","New York City","New York","Binders",4,14.952,1,0.2,5.0463
"Standard Class","Consumer","Philadelphia","Pennsylvania","Envelopes",4,3.264,2,0.2,1.1016
"Same Day","Consumer","Springfield","Ohio","Binders",0,27.36,3,0.7,-21.888
"First Class","Consumer","Longmont","Colorado","Furnishings",2,266.352,3,0.2,-13.3176
"Standard Class","Corporate","Los Angeles","California","Art",4,13.9,5,0,3.753
"Standard Class","Consumer","Springfield","Virginia","Storage",4,30.84,2,0,8.3268
"Standard Class","Consumer","Newport News","Virginia","Storage",4,16.91,1,0,4.5657
"Second Class","Consumer","Henderson","Kentucky","Chairs",3,731.94,3,0,219.582
"Standard Class","Consumer","Columbus","Ohio","Binders",5,7.236,3,0.7,-6.03
"Second Class","Consumer","Oceanside","New York","Envelopes",5,12.24,6,0,5.7528
"First Class","Home Office","Apple Valley","California","Phones",1,43.176,3,0.2,15.1116
"Standard Class","Home Office","San Francisco","California","Phones",4,206.384,2,0.2,23.2182
"Standard Class","Consumer","Westland","Michigan","Storage",6,66.58,2,0,15.9792
"Standard Class","Corporate","Jackson","Michigan","Art",5,13.9,5,0,3.753
"Standard Class","Corporate","Missouri City","Texas","Binders",4,6.37,7,0.8,-9.555
"Standard Class","Home Office","Springfield","Oregon","Appliances",6,87.168,2,0.2,8.7168
"Same Day","Consumer","Dallas","Texas","Furnishings",0,131.376,6,0.6,-95.2476
"First Class","Consumer","Clinton","Maryland","Furnishings",1,10.56,6,0,4.6464
"Standard Class","Consumer","Edmond","Oklahoma","Labels",4,14.62,2,0,6.8714
"Standard Class","Corporate","Philadelphia","Pennsylvania","Envelopes",4,8.856,3,0.2,2.8782
"Standard Class","Corporate","Rancho Cucamonga","California","Labels",4,5.76,2,0,2.6496
"Standard Class","Consumer","Houston","Texas","Storage",6,32.544,2,0.2,-7.7292
"Standard Class","Consumer","Newark","Ohio","Furnishings",5,103.056,3,0.2,24.4758
"Standard Class","Consumer","Richmond","Kentucky","Binders",5,124.75,5,0,57.385
"First Class","Consumer","Fairfield","Connecticut","Binders",2,30.88,2,0,15.44
"Standard Class","Home Office","Los Angeles","California","Furnishings",4,15.24,3,0,5.1816
"Standard Class","Consumer","Huntsville","Texas","Chairs",4,310.744,4,0.3,-26.6352
"Standard Class","Consumer","Chicago","Illinois","Chairs",5,127.386,2,0.3,-25.4772
"First Class","Home Office","Midland","Michigan","Binders",3,3812.97,3,0,1906.485
"Same Day","Home Office","Bryan","Texas","Binders",0,4.144,4,0.8,-6.4232
"Standard Class","Home Office","Alexandria","Virginia","Furnishings",5,62.82,3,0,30.7818
"First Class","Home Office","Los Angeles","California","Phones",3,279.96,5,0.2,17.4975
"Second Class","Consumer","Seattle","Washington","Accessories",2,538.92,9,0,80.838
"Standard Class","Consumer","Broken Arrow","Oklahoma","Binders",6,6.38,1,0,2.9348
"Standard Class","Corporate","Medina","Ohio","Labels",7,23.68,2,0.2,8.88
"Standard Class","Consumer","Philadelphia","Pennsylvania","Binders",4,99.846,9,0.7,-83.205
"Standard Class","Consumer","Los Angeles","California","Paper",4,68.52,3,0,31.5192
"Standard Class","Corporate","Houston","Texas","Tables",6,347.361,7,0.3,-69.4722
"Standard Class","Corporate","Columbus","Ohio","Paper",4,98.376,3,0.2,35.6613
"Standard Class","Corporate","Tucson","Arizona","Paper",4,74.352,3,0.2,23.235
"Standard Class","Consumer","New York City","New York","Binders",4,29.8,5,0.2,9.3125
"Second Class","Consumer","Paterson","New Jersey","Paper",2,61.96,2,0,27.882
"Standard Class","Consumer","New York City","New York","Binders",6,3.928,1,0.2,1.3257
"Same Day","Consumer","Jacksonville","Florida","Phones",0,823.96,5,0.2,51.4975
"Second Class","Corporate","Franklin","Tennessee","Tables",5,79.974,3,0.4,-29.3238
"Second Class","Home Office","Salinas","California","Bookcases",2,148.257,3,0.15,15.6978
"Standard Class","Consumer","Auburn","Alabama","Chairs",5,350.98,1,0,84.2352
"First Class","Corporate","Pueblo","Colorado","Art",2,3.408,1,0.2,0.8946
"Standard Class","Consumer","Philadelphia","Pennsylvania","Paper",4,5.344,1,0.2,1.8704
"Second Class","Home Office","Lakewood","Ohio","Phones",2,445.44,8,0.4,-81.664
"Standard Class","Home Office","Wilmington","Delaware","Paper",4,11.54,1,0,5.5392
"Standard Class","Corporate","Watertown","New York","Appliances",7,35.91,3,0,9.6957
"Standard Class","Consumer","Irving","Texas","Supplies",6,185.376,2,0.2,-34.758
"Standard Class","Corporate","Sierra Vista","Arizona","Appliances",7,30.144,2,0.2,3.0144
"Second Class","Home Office","Washington","District of Columbia","Furnishings",5,37.68,2,0,15.8256
"Standard Class","Home Office","Philadelphia","Pennsylvania","Tables",4,2065.32,12,0.4,-619.596
"Second Class","Consumer","Waynesboro","Virginia","Furnishings",2,104.01,1,0,14.5614
"Standard Class","Corporate","Chico","California","Tables",5,206.352,3,0.2,5.1588
"Standard Class","Consumer","Chicago","Illinois","Accessories",6,68.112,3,0.2,17.8794
"Standard Class","Consumer","Los Angeles","California","Binders",5,19.936,4,0.2,7.2268
"Standard Class","Home Office","San Francisco","California","Paper",7,29.9,5,0,13.455
"First Class","Consumer","Springfield","Virginia","Paper",2,75.88,2,0,35.6636
"Standard Class","Consumer","Columbia","Tennessee","Storage",5,258.48,2,0.2,-3.231
"First Class","Home Office","Newark","Delaware","Accessories",3,119.85,3,0,52.734
"First Class","Consumer","Philadelphia","Pennsylvania","Appliances",1,88.832,4,0.2,7.7728
"Second Class","Consumer","San Francisco","California","Phones",5,213.48,3,0.2,16.011
"Standard Class","Consumer","Fort Collins","Colorado","Accessories",6,47.984,2,0.2,0.5998
"Standard Class","Consumer","Plano","Texas","Machines",4,418.8,2,0.4,-97.72
"Standard Class","Consumer","San Francisco","California","Paper",4,92.94,3,0,41.823
"Standard Class","Consumer","Inglewood","California","Phones",4,196.776,3,0.2,14.7582
"Standard Class","Consumer","Los Angeles","California","Furnishings",5,48.86,7,0,14.1694
"Second Class","Consumer","Yonkers","New York","Supplies",3,18.62,2,0,5.3998
"Second Class","Consumer","Memphis","Tennessee","Storage",3,720.064,4,0.2,-63.0056
"Standard Class","Corporate","Philadelphia","Pennsylvania","Storage",6,32.544,2,0.2,-7.7292
"Second Class","Corporate","Jacksonville","Florida","Phones",3,23.976,3,0.2,-5.6943
"Standard Class","Corporate","New York City","New York","Tables",6,384.768,2,0.4,-115.4304
"Standard Class","Corporate","Columbus","Indiana","Paper",5,158.28,6,0,72.8088
"Standard Class","Consumer","Seattle","Washington","Appliances",4,97.16,2,0,28.1764
"First Class","Consumer","Los Angeles","California","Appliances",3,61.44,3,0,16.5888
"Standard Class","Corporate","Chicago","Illinois","Chairs",6,47.992,2,0.3,-2.0568
"Standard Class","Consumer","Miramar","Florida","Furnishings",5,339.136,4,0.2,0
"Standard Class","Home Office","Jackson","Michigan","Paper",4,18.54,2,0,8.7138
"Standard Class","Corporate","Memphis","Tennessee","Envelopes",7,55.936,8,0.2,18.8784
"First Class","Consumer","Los Angeles","California","Chairs",2,194.352,3,0.2,-36.441
"Standard Class","Home Office","La Mesa","California","Accessories",5,284.97,3,0,85.491
"First Class","Consumer","San Francisco","California","Envelopes",2,6.12,3,0,2.8764
"First Class","Home Office","San Francisco","California","Paper",2,4.28,1,0,1.926
"Standard Class","Home Office","Moreno Valley","California","Appliances",4,10.98,1,0,2.9646
"Standard Class","Consumer","Evanston","Illinois","Copiers",4,1439.968,4,0.2,485.9892
"Second Class","Consumer","Seattle","Washington","Binders",5,1.344,1,0.2,0.4704
"First Class","Consumer","Seattle","Washington","Binders",3,8.32,5,0.2,2.808
"Standard Class","Corporate","Oakland","California","Storage",4,1000.02,7,0,290.0058
"Second Class","Home Office","Chico","California","Furnishings",5,327.76,8,0,91.7728
"Standard Class","Corporate","Philadelphia","Pennsylvania","Machines",6,399.54,4,0.7,-559.356
"Second Class","Consumer","Bakersfield","California","Bookcases",2,195.466,2,0.15,-13.7976
"Standard Class","Consumer","Charlotte","North Carolina","Binders",4,22.911,7,0.7,-17.5651
"First Class","Home Office","Portland","Oregon","Chairs",2,403.92,5,0.2,25.245
"Standard Class","Home Office","Franklin","Massachusetts","Storage",7,1088.76,6,0,315.7404
"First Class","Home Office","Chester","Pennsylvania","Labels",3,97.696,4,0.2,31.7512
"Standard Class","Consumer","Milwaukee","Wisconsin","Appliances",5,272.4,5,0,76.272
"First Class","Corporate","Tinley Park","Illinois","Furnishings",1,22.288,7,0.6,-8.9152
"Second Class","Corporate","San Francisco","California","Appliances",4,69.48,1,0,20.844
"Standard Class","Home Office","Louisville","Kentucky","Binders",4,90.06,6,0,41.4276
"Standard Class","Consumer","Round Rock","Texas","Phones",5,431.976,3,0.2,32.3982
"First Class","Home Office","Troy","Ohio","Furnishings",3,30.144,2,0.2,8.2896
"Standard Class","Consumer","Philadelphia","Pennsylvania","Chairs",5,127.372,2,0.3,-30.9332
"Standard Class","Corporate","Brentwood","California","Binders",7,13.92,3,0.2,4.872
"Second Class","Corporate","Amarillo","Texas","Paper",4,19.648,2,0.2,6.6312
"Standard Class","Corporate","Los Angeles","California","Phones",7,31.984,2,0.2,-7.996
"Standard Class","Consumer","Paterson","New Jersey","Supplies",7,69.5,5,0,20.155
"Second Class","Corporate","Los Angeles","California","Phones",2,15.984,2,0.2,1.1988
"Standard Class","Home Office","Mcallen","Texas","Appliances",4,73.164,6,0.8,-186.5682
"Standard Class","Consumer","Los Angeles","California","Machines",6,558.4,2,0.2,41.88
"Standard Class","Corporate","Overland Park","Kansas","Art",4,27.78,6,0,9.1674
"Standard Class","Corporate","Plantation","Florida","Binders",7,4.662,3,0.7,-3.7296
"Standard Class","Corporate","Philadelphia","Pennsylvania","Phones",6,340.182,3,0.4,-73.7061
"Standard Class","Consumer","Chicago","Illinois","Appliances",5,53.088,7,0.8,-108.8304
"Standard Class","Home Office","Trenton","Michigan","Phones",4,299.98,2,0,83.9944
"Standard Class","Consumer","Marietta","Georgia","Binders",4,5.64,3,0,2.7072
"First Class","Consumer","Woodstock","Georgia","Accessories",1,272.61,13,0,98.1396
"Standard Class","Consumer","Long Beach","California","Art",6,5.76,2,0,1.6704
"Standard Class","Home Office","Roseville","California","Fasteners",4,2.48,2,0,1.1656
"Standard Class","Corporate","Los Angeles","California","Furnishings",4,14.91,3,0,4.6221
"First Class","Consumer","San Diego","California","Storage",3,443.92,4,0,8.8784
"First Class","Consumer","Waterbury","Connecticut","Labels",1,14.62,2,0,6.8714
"Second Class","Home Office","Henderson","Kentucky","Phones",2,671.93,7,0,188.1404
"Standard Class","Corporate","Fort Worth","Texas","Bookcases",5,623.4648,7,0.32,-119.1918
"Same Day","Consumer","San Diego","California","Paper",0,166.44,3,0,79.8912
"Standard Class","Consumer","Westland","Michigan","Storage",6,13.98,1,0,4.0542
"Second Class","Consumer","Los Angeles","California","Binders",3,487.984,2,0.2,152.495
"Standard Class","Consumer","San Antonio","Texas","Appliances",4,177.98,5,0.8,-453.849
"Standard Class","Home Office","Los Angeles","California","Appliances",5,361.96,2,0,101.3488
"Second Class","Corporate","Bossier City","Louisiana","Envelopes",2,50.94,3,0,25.47
"Standard Class","Consumer","Texas City","Texas","Tables",7,489.23,2,0.3,41.934
"Second Class","Corporate","Vancouver","Washington","Phones",5,302.376,3,0.2,22.6782
"Standard Class","Corporate","New York City","New York","Phones",5,4.95,1,0,1.3365
"Standard Class","Consumer","Belleville","New Jersey","Labels",7,9.82,2,0,4.8118
"First Class","Consumer","Oceanside","New York","Paper",3,182.72,8,0,84.0512
"Standard Class","Corporate","Seattle","Washington","Furnishings",4,31.96,2,0,1.598
"Second Class","Consumer","Wilmington","North Carolina","Paper",3,16.272,3,0.2,5.2884
"First Class","Corporate","New York City","New York","Furnishings",1,135.8,7,0,66.542
"Standard Class","Consumer","Philadelphia","Pennsylvania","Phones",5,118.65,5,0.4,19.775
"Standard Class","Consumer","Charlotte","North Carolina","Chairs",7,242.352,3,0.2,15.147
"Standard Class","Home Office","Los Angeles","California","Furnishings",4,42.6,3,0,16.614
"Standard Class","Consumer","Glendale","Arizona","Paper",4,6.368,2,0.2,2.388
"Standard Class","Consumer","Medford","Oregon","Paper",6,22.776,3,0.2,7.6869
"First Class","Consumer","Richmond","Virginia","Furnishings",2,39.92,4,0,11.1776
"Standard Class","Corporate","Seattle","Washington","Binders",4,35.352,9,0.2,12.8151
"Standard Class","Consumer","Los Angeles","California","Paper",7,19.44,3,0,9.3312
"Standard Class","Corporate","Columbus","Georgia","Paper",4,244.55,5,0,114.9385
"Standard Class","Corporate","Los Angeles","California","Paper",4,25.92,4,0,12.4416
"Second Class","Corporate","Corpus Christi","Texas","Fasteners",4,6.048,4,0.2,-1.3608
"Standard Class","Home Office","Tallahassee","Florida","Accessories",5,431.976,3,0.2,-75.5958
"Standard Class","Corporate","Philadelphia","Pennsylvania","Paper",4,10.368,2,0.2,3.6288
"Standard Class","Consumer","New York City","New York","Chairs",6,272.646,3,0.1,18.1764
"Second Class","Corporate","Laguna Niguel","California","Paper",4,34.08,6,0,15.336
"Standard Class","Consumer","New York City","New York","Furnishings",4,799.56,9,0,207.8856
"Standard Class","Home Office","Houston","Texas","Envelopes",4,113.328,9,0.2,35.415
"Second Class","Home Office","Austin","Texas","Binders",3,3.882,3,0.8,-5.823
"Standard Class","Corporate","Chicago","Illinois","Paper",6,8.448,2,0.2,2.9568
"Standard Class","Corporate","Orlando","Florida","Phones",5,244.768,4,0.2,24.4768
"Standard Class","Corporate","Chicago","Illinois","Copiers",4,719.976,3,0.2,134.9955
"Second Class","Consumer","Los Angeles","California","Labels",4,56.7,9,0,26.082
"Second Class","Consumer","Columbia","South Carolina","Accessories",5,62.91,3,0,22.6476
"Standard Class","Consumer","Philadelphia","Pennsylvania","Art",6,79.36,5,0.2,9.92
"Standard Class","Home Office","Detroit","Michigan","Bookcases",6,212.94,3,0,57.4938
"First Class","Consumer","Seattle","Washington","Labels",2,2.61,1,0,1.2006
"Standard Class","Corporate","Dallas","Texas","Envelopes",6,149.352,3,0.2,50.4063
"Second Class","Consumer","Encinitas","California","Binders",5,46.672,2,0.2,16.3352
"Standard Class","Home Office","Clarksville","Tennessee","Labels",4,3,1,0.2,1.05
"Standard Class","Consumer","Kent","Washington","Furnishings",7,198.46,2,0,99.23
"Second Class","Home Office","San Francisco","California","Art",2,3.52,2,0,1.0208
"First Class","Home Office","New York City","New York","Bookcases",2,899.136,4,0.2,112.392
"Standard Class","Consumer","Los Angeles","California","Furnishings",4,74.76,7,0,23.9232
"Second Class","Consumer","New York City","New York","Paper",3,108.92,14,0,49.014
"Standard Class","Consumer","Huntsville","Texas","Storage",4,143.728,2,0.2,-32.3388
"Standard Class","Corporate","Chicago","Illinois","Paper",4,5.184,1,0.2,1.8144
"Standard Class","Consumer","Richmond","Virginia","Storage",4,177.55,5,0,47.9385
"Standard Class","Consumer","Fort Worth","Texas","Accessories",5,58.112,2,0.2,7.264
"Standard Class","Consumer","Chesapeake","Virginia","Accessories",4,234.45,3,0,103.158
"Standard Class","Consumer","Bloomington","Illinois","Art",5,13.12,5,0.2,1.476
"Standard Class","Home Office","Columbus","Indiana","Storage",4,24.56,2,0,6.8768
"Standard Class","Consumer","Los Angeles","California","Binders",7,312.552,9,0.2,101.5794
"Standard Class","Consumer","Bullhead City","Arizona","Furnishings",4,14.368,2,0.2,3.9512
"Standard Class","Corporate","Roseville","Minnesota","Labels",4,50.4,8,0,23.184
"Standard Class","Consumer","Los Angeles","California","Furnishings",4,94.68,9,0,31.2444
"First Class","Consumer","Chicago","Illinois","Phones",2,95.984,2,0.2,5.999
"Standard Class","Consumer","New York City","New York","Envelopes",5,8.26,2,0,3.7996
"Standard Class","Corporate","Columbus","Georgia","Furnishings",4,39.92,4,0,11.1776
"Standard Class","Home Office","Los Angeles","California","Art",6,19.68,6,0,6.4944
"Same Day","Consumer","Charlotte","North Carolina","Labels",0,122.12,5,0.2,39.689
"First Class","Corporate","Jacksonville","North Carolina","Binders",2,28.854,6,0.7,-21.1596
"Standard Class","Consumer","Allentown","Pennsylvania","Art",5,4.16,2,0.2,0.364
"Standard Class","Consumer","Redondo Beach","California","Envelopes",4,7.64,1,0,3.7436
"Standard Class","Consumer","New York City","New York","Binders",5,12.816,3,0.2,4.3254
"First Class","Consumer","San Diego","California","Furnishings",2,151.72,4,0,27.3096
"First Class","Corporate","Columbus","Georgia","Appliances",3,647.84,8,0,168.4384
"Standard Class","Corporate","Philadelphia","Pennsylvania","Art",5,13.392,3,0.2,3.1806
"Second Class","Corporate","Thousand Oaks","California","Art",3,14.7,7,0,4.116
"Standard Class","Home Office","Springfield","Oregon","Art",7,5.344,2,0.2,0.7348
"Second Class","Consumer","Arlington","Virginia","Binders",4,58.05,3,0,26.703
"First Class","Corporate","Suffolk","Virginia","Tables",2,872.94,3,0,157.1292
"Standard Class","Corporate","Roswell","Georgia","Paper",4,6.48,1,0,3.1104
"Same Day","Home Office","Jonesboro","Arkansas","Binders",0,9.54,3,0,4.3884
"Standard Class","Corporate","Pomona","California","Art",7,35.82,9,0,11.8206
"Standard Class","Consumer","Grand Prairie","Texas","Accessories",5,65.44,5,0.2,-8.18
"Standard Class","Consumer","Huntsville","Texas","Art",4,12.736,4,0.2,2.2288
"Standard Class","Consumer","San Francisco","California","Furnishings",5,201.04,8,0,54.2808
"Second Class","Home Office","Huntsville","Alabama","Fasteners",4,3.62,2,0,1.1946
"Standard Class","Home Office","Hot Springs","Arkansas","Paper",7,25.92,4,0,12.7008
"Same Day","Consumer","New York City","New York","Tables",0,27.414,3,0.4,-14.1639
"Standard Class","Corporate","Los Angeles","California","Tables",4,351.216,3,0.2,4.3902
"Standard Class","Consumer","Aurora","Colorado","Binders",4,36.882,3,0.7,-25.8174
"First Class","Corporate","Houston","Texas","Furnishings",3,4.928,4,0.6,-1.4784
"Standard Class","Consumer","La Porte","Indiana","Furnishings",5,526.45,5,0,31.587
"Second Class","Consumer","San Diego","California","Art",2,10.64,4,0,2.7664
"First Class","Corporate","Philadelphia","Pennsylvania","Envelopes",2,348.488,7,0.2,117.6147
"First Class","Consumer","Jackson","Mississippi","Labels",3,14.62,2,0,6.8714
"Second Class","Corporate","Loveland","Colorado","Binders",3,1.188,2,0.7,-0.99
"Standard Class","Consumer","Los Angeles","California","Paper",5,33.4,5,0,16.032
"Standard Class","Consumer","Decatur","Illinois","Paper",4,10.368,2,0.2,3.6288
"Second Class","Consumer","Wilmington","Delaware","Paper",2,38.88,6,0,18.6624
"Standard Class","Consumer","Auburn","New York","Art",6,9.26,2,0,3.0558
"First Class","Corporate","San Francisco","California","Machines",2,4799.984,2,0.2,359.9988
"Same Day","Home Office","Muskogee","Oklahoma","Tables",0,262.11,1,0,62.9064
"Standard Class","Corporate","Auburn","New York","Furnishings",5,520.05,5,0,72.807
"Standard Class","Corporate","Bridgeton","New Jersey","Appliances",4,11.67,3,0,3.0342
"Standard Class","Consumer","Los Angeles","California","Paper",6,146.73,3,0,68.9631
"Standard Class","Consumer","Lakeville","Minnesota","Supplies",7,37.24,4,0,10.7996
"Standard Class","Consumer","Columbia","Tennessee","Paper",5,177.536,4,0.2,62.1376
"Standard Class","Home Office","Grand Prairie","Texas","Labels",7,23.68,2,0.2,8.88
"Second Class","Consumer","Seattle","Washington","Tables",3,1618.37,13,0,356.0414
"First Class","Corporate","Santa Barbara","California","Chairs",2,362.136,3,0.2,-54.3204
"Same Day","Corporate","Yuma","Arizona","Accessories",0,185.528,7,0.2,48.7011
"Standard Class","Corporate","Seattle","Washington","Furnishings",6,109.9,5,0,37.366
"Standard Class","Corporate","Fresno","California","Accessories",6,349.95,5,0,118.983
"Standard Class","Consumer","Los Angeles","California","Furnishings",5,86.26,2,0,29.3284
"Standard Class","Consumer","Los Angeles","California","Furnishings",4,464.85,9,0,92.97
"Standard Class","Consumer","Thomasville","North Carolina","Supplies",4,52.136,7,0.2,5.8653
"Standard Class","Home Office","New York City","New York","Paper",5,25.92,4,0,12.4416
"Standard Class","Consumer","Bowling Green","Ohio","Binders",5,5.553,3,0.7,-4.0722
"Second Class","Corporate","Miramar","Florida","Paper",5,20.736,4,0.2,7.2576
"Standard Class","Corporate","Lancaster","Pennsylvania","Binders",4,44.91,6,0.7,-35.928
"Standard Class","Consumer","Greensboro","North Carolina","Binders",4,7.644,4,0.7,-5.8604
"Standard Class","Consumer","Los Angeles","California","Phones",4,88.776,3,0.2,7.7679
"Standard Class","Corporate","Houston","Texas","Paper",4,25.92,5,0.2,9.072
"Second Class","Home Office","Aurora","Illinois","Furnishings",5,242.176,4,0.6,-302.72
"Standard Class","Consumer","Trenton","Michigan","Furnishings",4,157.74,11,0,56.7864
"Standard Class","Corporate","Glendale","Arizona","Paper",7,19.008,3,0.2,6.8904
"Standard Class","Consumer","Philadelphia","Pennsylvania","Paper",5,20.736,4,0.2,7.2576
"Second Class","Corporate","Watertown","New York","Bookcases",4,1573.488,7,0.2,196.686
"Standard Class","Consumer","Newport News","Virginia","Paper",4,32.4,5,0,15.552
"Standard Class","Corporate","Bangor","Maine","Appliances",4,101.96,2,0,27.5292
"Same Day","Consumer","Jacksonville","North Carolina","Paper",1,25.344,4,0.2,9.1872
"Standard Class","Home Office","Los Angeles","California","Paper",4,113.82,3,0,53.4954
"Standard Class","Corporate","New York City","New York","Binders",4,20.368,1,0.2,7.3834
"Second Class","Corporate","Sacramento","California","Binders",2,20.952,3,0.2,7.0713
"Standard Class","Home Office","Charlotte","North Carolina","Phones",6,35.96,1,0.2,3.596
"Standard Class","Corporate","Little Rock","Arkansas","Accessories",4,339.96,4,0,122.3856
"Second Class","Corporate","Omaha","Nebraska","Binders",2,15.36,2,0,7.68
"Standard Class","Consumer","Clovis","New Mexico","Binders",4,10.08,7,0.2,3.528
"Standard Class","Consumer","Fayetteville","North Carolina","Binders",7,28.782,6,0.7,-21.1068
"Second Class","Consumer","Jacksonville","North Carolina","Art",3,4.368,3,0.2,0.3822
"Standard Class","Consumer","Lowell","Massachusetts","Art",4,12.96,2,0,4.1472
"Second Class","Consumer","Irving","Texas","Paper",4,219.84,5,0.2,79.692
"First Class","Corporate","Philadelphia","Pennsylvania","Bookcases",1,61.96,4,0.5,-53.2856
"Standard Class","Home Office","Philadelphia","Pennsylvania","Binders",6,10.332,3,0.7,-7.5768
"First Class","Home Office","Seattle","Washington","Binders",1,9.296,2,0.2,3.0212
